species,IUCN,proba
Dermatopsis-multiradiatus,NaN,73.5
Encheliophis-boraborensis,NThr,98.0
Fusigobius-gracilis,NThr,98.0
Neosynchiropus-ocellatus,NThr,100.0
Synchiropus-kiyoae,NaN,73.0
Abalistes-stellatus,NaN,55.0
Ablabys-macracanthus,NaN,65.0
Ablabys-taenianotus,NaN,65.5
Abudefduf-margariteus,NaN,61.0
Acanthoplesiops-hiatti,NaN,61.5
Aeoliscus-strigatus,NThr,97.0
Aioliops-megastigma,Thr,100.0
Aioliops-tetrophthalmus,Thr,100.0
Alionematichthys-piger,NaN,56.0
Alionematichthys-riukiuensis,NaN,51.0
Amblyeleotris-aurora,NThr,97.0
Amblyeleotris-diagonalis,NThr,99.5
Amblyeleotris-fasciata,NThr,99.0
Amblyeleotris-fontanesii,NThr,91.5
Amblyeleotris-guttata,NThr,98.5
Amblyeleotris-gymnocephala,NThr,98.5
Amblyeleotris-novaecaledoniae,NaN,71.0
Amblyeleotris-periophthalma,NThr,99.5
Amblyeleotris-randalli,NThr,98.5
Amblyeleotris-steinitzi,NThr,100.0
Amblyeleotris-yanoi,NThr,88.0
Amblygobius-albimaculatus,NThr,99.0
Amblygobius-decussatus,NThr,97.0
Amblygobius-esakiae,NThr,90.0
Amblygobius-linki,NThr,89.5
Amblygobius-nocturnus,NThr,99.0
Amblygobius-phalaena,NThr,100.0
Amblygobius-semicinctus,NThr,87.5
Amphichaetodon-melbae,NThr,87.0
Amphiprion-chrysogaster,NaN,50.0
Amphiprion-chrysopterus,NaN,79.0
Amphiprion-clarkii,NThr,85.0
Amphiprion-latezonatus,NaN,67.0
Amphiprion-latifasciatus,NaN,57.0
Amphiprion-leucokranos,NaN,68.0
Amphiprion-mccullochi,NaN,59.5
Amphiprion-nigripes,NaN,68.0
Amphiprion-ocellaris,NaN,77.5
Amphiprion-sebae,NaN,75.5
Anampses-caeruleopunctatus,NThr,99.5
Anampses-lineatus,NThr,99.5
Anaora-tentaculata,NThr,90.5
Anisochromis-straussi,NThr,81.0
Anisotremus-surinamensis,NaN,53.5
Anomalops-katoptron,NThr,82.5
Antennarius-commerson,NThr,89.5
Antennarius-maculatus,NThr,98.0
Antennarius-pictus,NThr,80.5
Antennarius-randalli,NThr,89.0
Antennatus-tuberosus,NThr,99.0
Anthias-menezesi,NaN,74.0
Anthias-noeli,NaN,53.0
Aplodactylus-arctidens,NaN,75.5
Aplodactylus-etheridgii,Thr,93.0
Apogon-amboinensis,NThr,88.0
Apogon-bryx,NThr,96.0
Apogon-capricornis,NaN,58.0
Apogon-carinatus,NThr,85.0
Apogon-catalai,NaN,65.5
Apogon-caudicinctus,NThr,90.0
Apogon-cheni,Thr,93.5
Apogon-coccineus,NThr,100.0
Apogon-crassiceps,NThr,98.5
Apogon-dianthus,NThr,91.0
Apogon-diversus,NaN,63.0
Apogon-doederleini,NThr,85.5
Apogon-doryssa,NThr,85.0
Apogon-ellioti,NThr,100.0
Apogon-erythrinus,NThr,98.5
Apogon-flavus,NaN,62.0
Apogon-fukuii,Thr,91.5
Apogon-imberbis,Thr,82.5
Apogon-multitaeniatus,NaN,64.0
Apogon-nitidus,NaN,72.5
Apogon-norfolcensis,NaN,76.0
Apogon-novaeguineae,Thr,85.5
Apogon-pallidofasciatus,NaN,70.5
Apogon-posterofasciatus,NThr,85.5
Apogon-pselion,NaN,53.0
Apogon-semilineatus,NaN,62.0
Apogon-semiornatus,NThr,97.0
Apogon-septemstriatus,NThr,89.5
Apogon-striatodes,NaN,76.0
Apogon-striatus,NaN,69.5
Apogon-truncatus,NThr,99.0
Apogon-unicolor,NThr,89.0
Apogon-victoriae,Thr,84.0
Apogonichthyoides-nigripinnis,NThr,100.0
Apogonichthys-perdix,NThr,98.0
Apolemichthys-guezei,NaN,64.0
Archamia-bleekeri,NThr,94.5
Archamia-leai,NaN,73.5
Aseraggodes-auroculus,NThr,92.0
Aseraggodes-heemstrai,NThr,82.0
Aseraggodes-winterbottomi,NThr,86.0
Assessor-flavissimus,NThr,88.0
Assessor-macneilli,NThr,92.5
Assiculus-punctatus,NaN,62.0
Asterropteryx-atripes,NThr,80.5
Asterropteryx-bipunctata,NThr,96.0
Asterropteryx-semipunctata,NThr,100.0
Asterropteryx-striata,NThr,98.5
Astrapogon-stellatus,NThr,100.0
Atherinomorus-lacunosus,NaN,76.5
Balistapus-undulatus,NThr,100.0
Balistoides-viridescens,NThr,87.5
Belonepterygion-fasciolatum,NThr,89.5
Bodianus-izuensis,NThr,100.0
Brachysomophis-cirrocheilos,NaN,61.0
Brachysomophis-crocodilinus,NaN,71.0
Brosmophyciops-pautzkei,NaN,73.0
Brotula-multibarbata,NaN,78.0
Bryaninops-natans,NThr,100.0
Callanthias-allporti,Thr,87.0
Callanthias-australis,NaN,56.5
Callechelys-catostoma,NThr,90.0
Callechelys-marmorata,NThr,87.0
Callionymus-delicatulus,NThr,100.0
Callionymus-enneactis,NThr,99.5
Callionymus-simplicicornis,NThr,98.0
Callogobius-bifasciatus,NThr,100.0
Callogobius-hasseltii,NThr,100.0
Callogobius-hastatus,NThr,99.0
Callogobius-maculipinnis,NThr,100.0
Callogobius-okinawae,NThr,100.0
Callogobius-plumatus,NThr,99.0
Callogobius-sclateri,NThr,100.0
Callogobius-snelliusi,NThr,99.0
Calloplesiops-altivelis,NThr,89.0
Carapus-mourlani,NThr,100.0
Carcharhinus-altimus,Thr,100.0
Catesbya-pseudomuraena,Thr,100.0
Centropogon-australis,NaN,60.5
Cephaloscyllium-fasciatum,NaN,68.0
Cephaloscyllium-umbratile,Thr,98.5
Cercamia-cladara,NaN,79.0
Cercamia-eremia,NThr,100.0
Chaetodon-bennetti,NThr,100.0
Chaetodon-ocellicaudus,NThr,100.0
Chaetodon-reticulatus,NThr,100.0
Cheilodactylus-fuscus,Thr,98.0
Cheilodactylus-nigripes,Thr,86.0
Cheilodactylus-vittatus,Thr,85.0
Cheilodipterus-arabicus,NaN,69.0
Cheilodipterus-artus,NThr,88.5
Cheilodipterus-intermedius,NaN,58.5
Cheilodipterus-isostigmus,NThr,99.0
Cheilodipterus-macrodon,NThr,90.0
Cheilodipterus-quinquelineatus,NaN,80.0
Cheilodipterus-zonatus,NaN,73.5
Cheilopogon-suttoni,NaN,53.0
Cheiloprion-labiatus,NThr,100.0
Cheimerius-nufar,NaN,62.5
Chirodactylus-brachydactylus,Thr,92.5
Chironemus-marmoratus,NaN,78.0
Choerodon-azurio,Thr,90.0
Chromis-abyssicola,NThr,96.5
Chromis-acares,NThr,100.0
Chromis-agilis,NThr,100.0
Chromis-atripectoralis,NThr,100.0
Chromis-bami,NThr,100.0
Chromis-chrysura,NThr,100.0
Chromis-flavaxilla,NThr,100.0
Chromis-flavomaculata,NThr,100.0
Chromis-hanui,NThr,100.0
Chromis-iomelas,NThr,100.0
Chromis-jubauna,NThr,100.0
Chromis-klunzingeri,NThr,100.0
Chromis-lepidolepis,NThr,97.0
Chromis-leucura,NThr,100.0
Chromis-lineata,NThr,100.0
Chromis-margaritifer,NThr,100.0
Chromis-mirationis,NThr,97.5
Chromis-nigroanalis,NThr,100.0
Chromis-nigrura,NThr,100.0
Chromis-nitida,NThr,100.0
Chromis-notata,NThr,100.0
Chromis-okamurai,NThr,99.0
Chromis-opercularis,NThr,100.0
Chromis-ovalis,NThr,98.0
Chromis-pelloura,NThr,98.5
Chromis-retrofasciata,NThr,100.0
Chromis-scotochiloptera,NThr,100.0
Chromis-ternatensis,NThr,100.0
Chromis-vanderbilti,NThr,100.0
Chromis-verater,NThr,100.0
Chromis-viridis,NThr,100.0
Chromis-weberi,NThr,100.0
Chromis-westaustralis,NaN,79.0
Chromis-xanthochira,NThr,100.0
Chromis-xanthopterygia,NThr,100.0
Chromis-xanthura,NThr,100.0
Chromis-xutha,NThr,100.0
Chrysiptera-annulata,NThr,98.5
Chrysiptera-biocellata,NThr,100.0
Chrysiptera-brownriggii,NThr,100.0
Chrysiptera-caeruleolineata,NThr,100.0
Chrysiptera-cyanea,NThr,100.0
Chrysiptera-galba,NThr,100.0
Chrysiptera-glauca,NThr,100.0
Chrysiptera-hemicyanea,NThr,100.0
Chrysiptera-notialis,NThr,100.0
Chrysiptera-oxycephala,NThr,100.0
Chrysiptera-parasema,NThr,100.0
Chrysiptera-rex,NThr,100.0
Chrysiptera-rollandi,NThr,100.0
Chrysiptera-sinclairi,NThr,100.0
Chrysiptera-starcki,NThr,100.0
Chrysiptera-talboti,NThr,100.0
Chrysiptera-taupou,NThr,96.5
Chrysiptera-traceyi,NThr,100.0
Chrysiptera-tricincta,NThr,100.0
Cirrhilabrus-balteatus,NaN,72.5
Cirrhilabrus-cyanopleura,NThr,100.0
Cirrhilabrus-exquisitus,NThr,100.0
Cirrhilabrus-solorensis,NThr,98.0
Cirrhilabrus-temminckii,NaN,73.5
Cirrhitichthys-aureus,NThr,92.0
Cirrhitichthys-calliurus,NaN,57.0
Cirrhitichthys-guichenoti,NaN,72.0
Clarkichthys-bilineatus,NThr,91.0
Cleidopus-gloriamaris,Thr,85.0
Cocotropus-larvatus,NThr,87.0
Coris-nigrotaenia,NaN,74.0
Creedia-partimsquamigera,NaN,60.5
Cromileptes-altivelis,NThr,99.5
Cryptocentroides-insignis,NaN,80.0
Cryptocentrus-albidorsus,NaN,61.5
Cryptocentrus-cinctus,NaN,78.0
Cryptocentrus-fasciatus,NaN,80.0
Cryptocentrus-inexplicatus,NaN,66.0
Cryptocentrus-leptocephalus,NaN,75.0
Cryptocentrus-leucostictus,NaN,66.0
Cryptocentrus-nigrocellatus,NaN,67.5
Ctenogobiops-pomastictus,NThr,87.5
Ctenogobiops-tangaroai,NaN,59.0
Cyclichthys-orbicularis,NThr,98.5
Cymbacephalus-bosschei,NThr,99.5
Dactylophora-nigricans,Thr,94.5
Dactylopus-dactylopus,NThr,100.0
Dascyllus-albisella,NThr,94.5
Dascyllus-aruanus,NThr,100.0
Dascyllus-auripinnis,NThr,96.5
Dascyllus-carneus,NThr,99.5
Dascyllus-flavicaudus,NThr,99.5
Dascyllus-marginatus,NThr,100.0
Dascyllus-melanurus,NThr,100.0
Dascyllus-reticulatus,NThr,97.0
Dascyllus-trimaculatus,NThr,100.0
Dasyatis-americana,Thr,98.0
Dermatolepis-inermis,NaN,69.5
Dermatopsis-macrodon,NaN,53.0
Diagramma-pictum,NThr,92.5
Diancistrus-alleni,NThr,97.5
Diancistrus-altidorsalis,NThr,94.5
Diancistrus-beateae,NThr,89.5
Diancistrus-brevirostris,Thr,85.0
Diancistrus-erythraeus,NaN,59.0
Diancistrus-fijiensis,Thr,94.5
Diancistrus-fuscus,NaN,57.5
Diancistrus-longifilis,NaN,50.5
Diancistrus-machidai,NThr,80.5
Diancistrus-pohnpeiensis,Thr,96.5
Diancistrus-tongaensis,NaN,58.5
Dicotylichthys-punctulatus,NaN,59.0
Dinematichthys-iluocoeteoides,NaN,72.5
Dinoperca-petersi,NaN,69.5
Diodon-liturosus,NThr,100.0
Diodon-nicthemerus,NaN,75.5
Diplogrammus-goramensis,NThr,96.0
Dipulus-caecus,Thr,96.0
Dipulus-norfolkanus,Thr,97.5
Dischistodus-chrysopoecilus,NThr,92.0
Dischistodus-fasciatus,NThr,96.0
Dischistodus-melanotus,NThr,93.5
Dischistodus-prosopotaenia,NThr,100.0
Dischistodus-pseudochrysopoecilus,NThr,92.0
Drepane-longimana,NaN,80.0
Drepane-punctata,NaN,54.5
Dunckerocampus-dactyliophorus,NThr,96.5
Echidna-delicatula,NaN,56.0
Echinophryne-reynoldsi,NaN,56.5
Elacatinus-figaro,NaN,55.5
Encheliophis-gracilis,NThr,97.5
Encheliophis-homei,NThr,98.0
